날짜,종가,시가,고가,저가,거래량
2020.09.11,"78,300","79,000","80,900","78,300","303,935"
2020.09.10,"80,000","78,100","80,000","76,700","1,103,534"
2020.09.09,"76,100","75,800","80,800","75,700","1,074,803"
2020.09.08,"78,400","84,100","85,400","78,400","1,534,809"
2020.09.07,"82,200","70,000","88,400","69,200","3,486,985"
2020.09.04,"69,000","65,900","70,300","65,700","853,272"
2020.09.03,"68,700","66,900","70,600","65,700","933,127"
2020.09.02,"66,200","64,500","67,700","63,900","914,269"
2020.09.01,"63,000","61,400","63,500","61,300","412,253"
2020.08.31,"60,900","62,900","64,100","60,900","553,887"
2020.08.28,"62,300","61,700","62,500","61,300","437,369"
2020.08.27,"60,100","62,200","62,400","60,100","452,250"
2020.08.26,"62,700","63,300","63,300","61,200","389,741"
2020.08.25,"63,400","59,500","63,500","59,500","602,646"
2020.08.24,"58,800","57,500","59,100","56,600","387,574"
2020.08.21,"57,900","58,300","59,000","57,200","351,614"
2020.08.20,"57,600","60,100","60,700","57,300","649,718"
2020.08.19,"60,700","60,100","62,200","59,900","459,423"
2020.08.18,"60,200","64,900","64,900","59,700","885,028"
2020.08.14,"63,800","63,100","64,200","60,400","639,637"
2020.08.13,"62,900","64,700","65,500","61,400","735,297"
2020.08.12,"63,900","64,900","66,000","61,400","784,714"
2020.08.11,"64,800","67,100","69,600","64,600","841,912"
2020.08.10,"66,900","61,700","67,100","60,800","1,075,156"
2020.08.07,"60,400","59,600","60,700","57,200","589,577"
2020.08.06,"57,500","59,700","62,800","57,000","1,147,594"
2020.08.05,"58,200","56,100","58,800","54,500","1,189,232"
2020.08.04,"53,600","52,000","53,900","51,700","606,381"
2020.08.03,"51,200","48,750","51,300","48,650","603,757"
2020.07.31,"48,700","49,450","49,700","48,600","314,733"
2020.07.30,"49,350","50,200","50,900","49,300","325,919"
2020.07.29,"49,850","49,600","50,400","48,900","291,818"
2020.07.28,"49,850","50,400","51,000","49,800","302,470"
2020.07.27,"50,000","49,900","51,400","49,450","278,524"
2020.07.24,"50,200","50,700","51,100","49,650","303,161"
2020.07.23,"51,300","50,900","51,300","49,750","469,531"
2020.07.22,"51,300","50,700","52,000","50,200","559,846"
2020.07.21,"50,500","48,700","50,900","48,150","653,869"
2020.07.20,"48,300","48,700","49,300","47,600","423,620"
2020.07.17,"48,650","47,800","48,900","47,800","565,225"
2020.07.16,"47,750","46,250","48,750","46,150","873,522"
2020.07.15,"46,000","46,400","46,950","45,400","692,870"
2020.07.14,"44,800","44,900","45,300","44,300","230,405"
2020.07.13,"45,000","43,000","45,150","42,900","428,892"
2020.07.10,"42,700","44,250","44,350","42,650","427,637"
2020.07.09,"44,250","44,700","45,300","44,250","390,584"
2020.07.08,"44,700","45,050","45,200","44,400","322,971"
2020.07.07,"45,050","46,900","46,950","45,000","399,721"
2020.07.06,"46,200","45,650","46,550","45,000","270,286"
2020.07.03,"45,650","45,800","46,200","45,300","200,589"
