날짜,종가,시가,고가,저가,거래량
2020.09.11,"20,100","20,300","20,400","20,100","1,017,055"
2020.09.10,"20,350","20,450","20,500","20,300","2,637,688"
2020.09.09,"20,300","20,300","20,450","20,150","2,368,901"
2020.09.08,"20,500","20,700","20,750","20,450","2,490,059"
2020.09.07,"20,650","20,650","20,800","20,500","2,347,343"
2020.09.04,"20,700","20,500","20,900","20,400","4,124,411"
2020.09.03,"21,050","21,350","21,500","20,900","3,537,985"
2020.09.02,"21,150","21,500","21,600","20,850","4,036,495"
2020.09.01,"21,300","20,650","21,400","20,550","6,019,062"
2020.08.31,"20,500","20,850","21,400","20,500","4,911,995"
2020.08.28,"20,700","20,450","20,950","20,400","3,369,350"
2020.08.27,"20,400","20,450","20,950","20,300","3,303,982"
2020.08.26,"20,450","20,850","21,000","20,250","3,812,835"
2020.08.25,"21,000","20,200","21,200","20,150","6,875,039"
2020.08.24,"19,950","19,900","20,100","19,600","2,409,724"
2020.08.21,"20,000","20,150","20,350","19,900","3,599,892"
2020.08.20,"19,950","20,650","20,700","19,850","5,547,124"
2020.08.19,"20,800","20,800","21,200","20,600","3,456,167"
2020.08.18,"20,550","22,050","22,100","20,500","7,925,993"
2020.08.14,"21,950","22,100","22,700","21,650","14,743,652"
2020.08.13,"21,550","20,850","21,850","20,400","12,573,404"
2020.08.12,"20,700","21,150","21,150","20,250","6,946,476"
2020.08.11,"21,000","19,500","21,250","19,500","18,946,719"
2020.08.10,"19,450","19,600","19,600","19,200","2,450,862"
2020.08.07,"19,600","19,600","19,950","19,400","3,593,904"
2020.08.06,"19,350","19,200","19,450","19,200","2,268,909"
2020.08.05,"19,200","19,200","19,400","19,200","1,768,901"
2020.08.04,"19,200","19,050","19,350","19,000","1,967,909"
2020.08.03,"19,050","19,200","19,250","18,950","1,850,645"
2020.07.31,"19,100","19,250","19,500","19,100","2,277,692"
2020.07.30,"19,200","19,400","19,550","19,200","1,857,004"
2020.07.29,"19,350","19,100","19,450","19,050","1,992,469"
2020.07.28,"19,150","19,300","19,400","19,100","3,267,280"
2020.07.27,"19,300","19,400","19,650","19,300","2,013,195"
2020.07.24,"19,500","19,200","19,700","19,100","2,124,153"
2020.07.23,"19,400","19,800","19,850","19,350","3,099,301"
2020.07.22,"19,800","19,800","20,150","19,750","2,520,901"
2020.07.21,"19,800","20,000","20,000","19,750","3,015,321"
2020.07.20,"19,950","19,750","20,250","19,700","3,233,048"
2020.07.17,"19,750","19,650","19,850","19,600","1,742,293"
2020.07.16,"19,600","19,650","19,900","19,450","2,625,872"
2020.07.15,"19,600","20,100","20,200","19,550","3,146,491"
2020.07.14,"19,850","20,050","20,250","19,700","2,932,456"
2020.07.13,"20,000","18,850","20,150","18,750","7,671,410"
2020.07.10,"18,700","19,000","19,050","18,700","2,841,607"
2020.07.09,"19,000","19,150","19,200","19,000","2,293,341"
2020.07.08,"19,050","19,100","19,300","18,900","2,710,958"
2020.07.07,"19,000","19,400","19,650","19,000","4,834,191"
2020.07.06,"19,350","19,400","19,550","19,200","2,797,245"
2020.07.03,"19,400","19,400","19,800","19,250","2,959,162"
