날짜,종가,시가,고가,저가,거래량
2020.09.11,"86,600","86,800","87,800","86,100","142,804"
2020.09.10,"87,200","87,000","88,100","86,300","314,048"
2020.09.09,"86,500","86,500","87,100","86,300","219,262"
2020.09.08,"87,700","89,700","91,200","87,300","522,666"
2020.09.07,"87,900","86,000","88,400","85,200","342,054"
2020.09.04,"86,100","85,000","86,300","85,000","319,826"
2020.09.03,"87,600","88,100","88,500","87,500","220,687"
2020.09.02,"87,800","88,100","88,500","87,000","209,881"
2020.09.01,"88,000","86,100","88,300","86,100","225,198"
2020.08.31,"86,200","88,400","89,400","86,200","442,859"
2020.08.28,"87,600","88,000","88,900","87,100","247,141"
2020.08.27,"87,100","89,100","89,200","87,000","360,311"
2020.08.26,"89,100","90,900","92,300","88,700","390,394"
2020.08.25,"90,500","88,600","92,500","86,700","512,590"
2020.08.24,"87,500","89,100","89,100","87,200","245,500"
2020.08.21,"87,700","88,200","89,100","85,900","306,552"
2020.08.20,"87,500","90,700","90,700","87,100","468,677"
2020.08.19,"91,400","91,200","94,200","91,100","346,839"
2020.08.18,"91,500","99,300","99,400","90,500","1,118,237"
2020.08.14,"95,900","91,000","96,000","90,800","983,827"
2020.08.13,"90,300","93,200","93,600","89,800","438,141"
2020.08.12,"92,100","91,400","92,100","89,700","357,704"
2020.08.11,"91,700","87,400","92,000","87,300","775,258"
2020.08.10,"87,200","85,500","87,900","85,100","306,003"
2020.08.07,"86,000","87,000","87,100","85,200","381,344"
2020.08.06,"87,000","87,100","88,700","86,600","332,546"
2020.08.05,"86,500","86,700","87,200","86,200","236,374"
2020.08.04,"87,100","87,500","89,000","87,000","233,903"
2020.08.03,"86,300","89,500","89,500","86,200","374,753"
2020.07.31,"89,200","90,700","91,500","89,200","304,064"
2020.07.30,"91,000","90,700","92,400","89,500","306,548"
2020.07.29,"90,800","89,400","91,000","89,000","154,034"
2020.07.28,"90,800","87,800","91,000","87,300","317,567"
2020.07.27,"87,700","87,300","89,100","87,300","131,963"
2020.07.24,"88,300","88,100","88,700","86,900","248,471"
2020.07.23,"89,000","90,400","90,600","88,000","274,495"
2020.07.22,"90,800","92,600","93,000","90,700","245,603"
2020.07.21,"93,000","90,700","93,400","90,200","416,204"
2020.07.20,"90,100","90,000","91,900","89,300","182,045"
2020.07.17,"89,400","92,000","92,000","89,000","140,487"
2020.07.16,"91,000","91,000","92,900","90,300","200,880"
2020.07.15,"91,000","90,400","93,700","90,000","472,903"
2020.07.14,"88,500","89,500","89,500","87,500","150,034"
2020.07.13,"89,700","83,800","90,000","83,100","473,931"
2020.07.10,"83,700","85,600","85,900","83,300","261,070"
2020.07.09,"86,200","86,000","87,800","85,700","218,445"
2020.07.08,"85,700","86,700","87,500","85,400","185,882"
2020.07.07,"86,700","88,800","89,800","86,700","240,071"
2020.07.06,"87,800","88,600","88,900","87,100","180,244"
2020.07.03,"88,500","88,400","89,000","87,400","138,087"
