날짜,종가,시가,고가,저가,거래량
2020.09.11,"45,900","45,950","46,150","45,700","60,652"
2020.09.10,"45,900","45,850","46,150","45,300","141,480"
2020.09.09,"45,450","45,700","45,950","45,100","146,960"
2020.09.08,"45,850","46,100","46,300","45,750","148,990"
2020.09.07,"45,850","46,150","46,450","45,500","187,615"
2020.09.04,"46,150","45,150","46,150","44,450","209,799"
2020.09.03,"46,300","46,700","47,050","46,100","268,813"
2020.09.02,"46,350","46,150","46,600","45,750","165,725"
2020.09.01,"45,750","45,450","46,100","45,250","147,145"
2020.08.31,"45,800","45,800","46,200","44,700","207,201"
2020.08.28,"45,600","46,000","46,300","44,500","392,578"
2020.08.27,"45,550","46,950","47,250","45,550","233,033"
2020.08.26,"46,950","47,900","47,900","46,600","190,464"
2020.08.25,"47,900","47,350","48,550","47,350","205,275"
2020.08.24,"47,050","47,700","47,900","46,200","243,326"
2020.08.21,"47,750","48,000","49,000","47,050","241,010"
2020.08.20,"47,750","50,600","50,600","47,400","380,469"
2020.08.19,"50,500","49,450","51,000","48,100","370,237"
2020.08.18,"48,900","51,900","52,100","48,250","440,332"
2020.08.14,"52,300","52,300","53,900","50,800","565,266"
2020.08.13,"51,800","53,200","53,400","51,100","449,762"
2020.08.12,"52,400","50,800","52,500","49,400","556,064"
2020.08.11,"50,300","50,000","51,900","49,850","338,071"
2020.08.10,"50,200","50,700","51,300","49,800","458,157"
2020.08.07,"49,750","48,150","50,500","48,100","1,001,615"
2020.08.06,"47,400","47,200","47,750","46,550","225,234"
2020.08.05,"47,000","46,850","49,200","46,850","528,853"
2020.08.04,"46,950","45,800","47,450","45,800","301,648"
2020.08.03,"45,800","46,750","46,750","44,950","200,964"
2020.07.31,"46,750","47,600","48,000","46,600","233,804"
2020.07.30,"47,550","45,900","48,000","45,750","696,707"
2020.07.29,"45,650","44,400","45,700","44,250","162,666"
2020.07.28,"44,750","44,500","45,100","44,050","147,837"
2020.07.27,"44,250","43,800","44,550","43,750","88,140"
2020.07.24,"43,950","43,700","45,250","43,650","226,261"
2020.07.23,"44,300","45,050","45,250","44,250","254,695"
2020.07.22,"45,650","47,700","47,700","45,600","336,426"
2020.07.21,"47,300","46,550","47,400","46,150","408,971"
2020.07.20,"46,150","45,750","46,700","45,050","380,407"
2020.07.17,"45,350","46,300","46,850","44,900","343,382"
2020.07.16,"45,700","44,000","47,000","43,350","1,302,183"
2020.07.15,"44,000","43,000","44,050","42,800","267,066"
2020.07.14,"42,850","42,150","43,200","41,750","120,780"
2020.07.13,"42,250","42,350","42,650","41,750","100,670"
2020.07.10,"41,750","42,900","42,900","41,700","147,951"
2020.07.09,"42,750","42,950","43,250","42,500","126,056"
2020.07.08,"43,050","42,800","43,800","42,500","154,642"
2020.07.07,"42,800","44,000","44,000","42,750","187,931"
2020.07.06,"43,700","44,000","44,100","43,200","247,180"
2020.07.03,"43,550","42,500","44,200","42,500","386,696"
