날짜,종가,시가,고가,저가,거래량
2020.09.11,"30,850","31,000","31,400","30,600","127,034"
2020.09.10,"31,400","31,150","31,500","30,900","358,401"
2020.09.09,"31,250","31,200","31,550","30,650","309,233"
2020.09.08,"31,250","30,250","32,100","30,100","856,368"
2020.09.07,"30,200","30,600","30,850","30,050","248,048"
2020.09.04,"30,600","29,150","30,600","29,150","521,723"
2020.09.03,"30,300","30,850","31,000","30,000","390,446"
2020.09.02,"30,900","30,300","30,900","29,800","461,923"
2020.09.01,"30,300","29,400","30,500","29,150","342,623"
2020.08.31,"29,500","29,400","30,700","29,350","661,388"
2020.08.28,"29,500","29,200","30,100","29,100","385,690"
2020.08.27,"29,150","30,050","30,400","29,000","532,487"
2020.08.26,"30,250","32,000","32,850","29,950","1,245,957"
2020.08.25,"31,550","28,900","34,250","28,850","4,053,153"
2020.08.24,"28,750","28,800","28,950","27,650","279,193"
2020.08.21,"28,650","29,100","29,700","28,450","379,983"
2020.08.20,"28,950","30,550","30,850","28,900","523,223"
2020.08.19,"30,600","33,050","33,950","30,550","861,264"
2020.08.18,"33,650","34,200","34,850","32,700","785,636"
2020.08.14,"33,850","33,100","34,400","31,600","571,024"
2020.08.13,"33,100","31,500","33,100","31,350","711,305"
2020.08.12,"31,750","30,400","32,400","30,250","919,613"
2020.08.11,"30,350","29,450","30,850","29,400","694,082"
2020.08.10,"29,350","28,600","29,800","28,200","630,861"
2020.08.07,"28,800","28,500","29,450","28,200","484,896"
2020.08.06,"28,500","28,350","29,350","27,800","628,849"
2020.08.05,"28,850","27,150","32,400","27,100","2,584,513"
2020.08.04,"27,350","25,800","27,400","25,700","1,372,907"
2020.08.03,"25,300","26,250","26,300","25,200","540,409"
2020.07.31,"26,050","27,200","28,000","25,850","1,919,269"
2020.07.30,"27,900","25,500","30,300","25,450","3,301,642"
2020.07.29,"25,650","25,500","26,150","25,350","358,553"
2020.07.28,"25,700","25,250","25,950","25,050","333,619"
2020.07.27,"25,350","25,400","25,800","25,000","227,587"
2020.07.24,"25,650","25,200","25,700","25,150","285,222"
2020.07.23,"25,550","25,200","25,600","24,750","360,934"
2020.07.22,"25,200","25,100","25,450","25,100","231,195"
2020.07.21,"25,150","25,100","25,500","25,000","288,555"
2020.07.20,"25,200","25,650","25,750","25,000","257,073"
2020.07.17,"25,700","25,650","26,100","25,500","282,136"
2020.07.16,"25,350","24,950","25,850","24,700","359,083"
2020.07.15,"24,900","25,150","26,100","24,750","480,893"
2020.07.14,"25,050","24,900","25,050","24,350","393,283"
2020.07.13,"25,150","25,100","25,350","24,750","303,243"
2020.07.10,"25,100","25,950","26,100","25,000","385,925"
2020.07.09,"26,200","26,700","26,950","26,100","440,746"
2020.07.08,"26,700","27,300","27,500","26,500","430,063"
2020.07.07,"26,900","27,650","28,200","26,550","608,013"
2020.07.06,"27,800","25,150","27,800","25,150","1,386,027"
2020.07.03,"24,900","25,250","25,500","24,600","329,127"
