날짜,종가,시가,고가,저가,거래량
2020.09.11,"22,950","23,000","23,150","22,900","159,855"
2020.09.10,"23,050","23,350","23,450","23,000","443,378"
2020.09.09,"23,250","23,500","23,650","23,250","378,896"
2020.09.08,"23,700","23,250","24,250","23,250","655,574"
2020.09.07,"23,250","23,300","23,550","23,100","360,481"
2020.09.04,"23,400","22,700","23,600","22,700","622,591"
2020.09.03,"23,200","23,450","23,550","23,000","462,658"
2020.09.02,"23,400","22,950","23,400","22,600","468,808"
2020.09.01,"22,700","22,300","22,800","22,250","340,804"
2020.08.31,"22,450","22,700","22,950","22,350","402,678"
2020.08.28,"22,450","22,300","22,700","22,250","320,065"
2020.08.27,"22,300","22,700","22,750","22,200","439,497"
2020.08.26,"22,750","23,150","23,150","22,650","404,078"
2020.08.25,"23,100","22,950","23,200","22,800","303,141"
2020.08.24,"22,750","22,850","22,950","22,300","327,587"
2020.08.21,"22,900","23,250","23,450","22,700","395,109"
2020.08.20,"22,900","23,650","23,850","22,850","773,324"
2020.08.19,"23,950","23,750","24,050","23,650","303,421"
2020.08.18,"23,750","24,700","24,800","23,550","779,871"
2020.08.14,"24,900","25,000","25,050","24,500","409,587"
2020.08.13,"24,950","25,300","25,400","24,650","614,546"
2020.08.12,"25,050","25,100","25,100","24,500","658,625"
2020.08.11,"25,100","24,300","25,250","24,050","1,120,282"
2020.08.10,"24,150","23,700","24,250","23,650","552,596"
2020.08.07,"23,650","24,050","24,300","23,500","589,220"
2020.08.06,"24,000","23,500","24,200","23,450","559,702"
2020.08.05,"23,450","23,650","23,800","23,400","475,843"
2020.08.04,"23,650","23,400","23,850","23,400","358,299"
2020.08.03,"23,500","23,850","24,000","23,450","546,710"
2020.07.31,"23,950","24,350","24,450","23,950","486,915"
2020.07.30,"24,350","24,950","24,950","24,300","745,200"
2020.07.29,"24,900","25,850","26,200","24,800","1,644,830"
2020.07.28,"25,450","24,650","26,250","24,400","1,069,644"
2020.07.27,"24,600","24,500","24,900","24,500","251,932"
2020.07.24,"24,550","24,800","25,000","24,450","324,292"
2020.07.23,"25,050","24,900","25,050","24,450","402,420"
2020.07.22,"25,050","24,800","25,650","24,750","758,203"
2020.07.21,"24,700","24,700","25,400","24,300","519,998"
2020.07.20,"24,400","24,300","24,700","24,200","253,245"
2020.07.17,"24,450","24,650","24,900","24,350","220,518"
2020.07.16,"24,700","24,500","24,950","24,450","365,502"
2020.07.15,"24,350","24,200","24,650","24,150","367,312"
2020.07.14,"24,100","24,000","24,100","23,700","187,588"
2020.07.13,"24,000","23,700","24,150","23,600","238,410"
2020.07.10,"23,800","24,150","24,300","23,800","293,956"
2020.07.09,"24,300","24,350","24,450","23,950","374,035"
2020.07.08,"24,200","24,450","24,450","24,200","306,300"
2020.07.07,"24,450","24,800","24,800","24,300","328,433"
2020.07.06,"24,800","24,800","25,000","24,550","568,913"
2020.07.03,"24,100","23,900","24,100","23,750","173,368"
