날짜,종가,시가,고가,저가,거래량
2020.09.11,"57,400","57,500","58,100","57,100","47,912"
2020.09.10,"58,200","57,900","58,200","56,600","202,596"
2020.09.09,"57,600","58,000","58,500","56,800","241,545"
2020.09.08,"59,300","58,700","61,600","58,200","356,653"
2020.09.07,"58,600","58,800","59,400","58,000","198,417"
2020.09.04,"58,400","57,900","59,300","57,800","285,002"
2020.09.03,"60,000","60,200","60,900","59,200","219,513"
2020.09.02,"60,000","61,400","62,100","58,900","447,162"
2020.09.01,"59,700","58,700","59,900","58,300","228,475"
2020.08.31,"58,600","56,900","59,400","56,900","371,789"
2020.08.28,"56,800","56,700","59,200","56,700","294,488"
2020.08.27,"56,700","59,400","59,800","56,500","391,973"
2020.08.26,"60,000","61,000","61,800","59,400","526,759"
2020.08.25,"61,700","57,500","63,200","56,100","907,095"
2020.08.24,"57,400","56,000","57,500","55,700","276,894"
2020.08.21,"56,000","57,400","59,600","55,300","495,298"
2020.08.20,"57,400","58,000","60,700","56,800","489,382"
2020.08.19,"58,400","57,100","59,600","56,100","456,887"
2020.08.18,"57,500","63,100","63,800","56,600","699,055"
2020.08.14,"63,300","64,300","65,400","63,200","385,093"
2020.08.13,"65,700","63,000","67,000","62,100","1,069,341"
2020.08.12,"62,900","62,200","64,000","61,400","472,173"
2020.08.11,"62,600","61,300","66,300","61,000","1,066,196"
2020.08.10,"62,200","63,500","74,000","59,100","3,286,285"
2020.08.07,"65,100","65,700","65,700","61,000","369,902"
2020.08.06,"63,000","71,700","72,000","62,900","955,942"
2020.08.05,"70,900","70,000","70,900","70,000","526,200"
2020.08.04,"54,600","49,800","59,100","47,650","6,240,654"
2020.08.03,"49,300","44,350","53,400","44,300","5,989,647"
2020.07.31,"42,200","42,300","45,550","41,250","2,732,685"
2020.07.30,"41,900","41,450","43,000","40,650","1,190,132"
2020.07.29,"41,850","44,050","44,500","41,250","2,501,803"
2020.07.28,"46,200","35,700","46,200","35,700","5,604,461"
2020.07.27,"35,550","35,150","36,150","35,150","164,642"
2020.07.24,"35,150","35,050","36,150","34,750","226,232"
2020.07.23,"35,250","34,350","35,500","33,700","201,297"
2020.07.22,"34,600","34,850","35,150","34,400","104,472"
2020.07.21,"34,950","35,050","35,550","34,900","114,255"
2020.07.20,"35,000","35,350","35,600","34,750","101,088"
2020.07.17,"35,400","36,000","36,050","35,100","93,470"
2020.07.16,"35,700","34,400","35,750","34,250","200,685"
2020.07.15,"34,400","34,650","35,000","34,200","90,716"
2020.07.14,"34,600","34,500","34,950","34,050","136,042"
2020.07.13,"34,200","35,000","35,200","34,200","110,627"
2020.07.10,"35,000","36,100","36,400","34,350","281,004"
2020.07.09,"34,550","33,450","35,800","32,700","320,874"
2020.07.08,"33,400","34,300","34,300","33,100","92,493"
2020.07.07,"33,900","34,650","34,700","33,750","85,309"
2020.07.06,"34,200","34,200","34,800","33,450","111,667"
2020.07.03,"34,100","33,000","34,500","33,000","94,849"
