날짜,종가,시가,고가,저가,거래량
2020.09.11,"12,150","12,250","12,400","12,100","308,669"
2020.09.10,"12,400","12,450","12,750","12,250","1,357,289"
2020.09.09,"12,400","12,500","12,800","12,150","1,066,488"
2020.09.08,"12,450","12,800","12,850","12,350","915,475"
2020.09.07,"12,650","12,650","12,900","12,450","1,104,392"
2020.09.04,"12,650","12,150","12,850","12,100","1,658,813"
2020.09.03,"12,700","13,100","13,100","12,650","1,303,666"
2020.09.02,"13,150","13,200","13,200","12,850","868,901"
2020.09.01,"13,100","12,850","13,350","12,700","1,253,729"
2020.08.31,"12,900","13,350","13,950","12,800","2,586,702"
2020.08.28,"13,050","13,000","13,450","12,800","1,565,878"
2020.08.27,"12,900","13,150","13,150","12,650","1,274,897"
2020.08.26,"13,200","13,100","13,350","12,950","1,475,197"
2020.08.25,"13,050","13,100","13,550","12,900","2,087,129"
2020.08.24,"12,900","13,450","13,600","12,800","2,691,768"
2020.08.21,"13,900","12,700","14,000","12,450","5,206,182"
2020.08.20,"12,600","12,750","13,000","12,450","1,663,029"
2020.08.19,"13,050","12,500","13,500","12,500","2,656,469"
2020.08.18,"12,450","12,700","13,200","12,300","2,234,228"
2020.08.14,"13,000","13,400","13,800","12,650","4,268,798"
2020.08.13,"12,750","12,150","13,900","12,000","16,273,756"
2020.08.12,"12,000","10,950","14,150","10,900","22,226,342"
2020.08.11,"10,900","11,050","11,150","10,700","1,579,936"
2020.08.10,"11,000","10,900","11,000","10,450","2,420,751"
2020.08.07,"10,550","10,400","10,700","10,150","1,723,851"
2020.08.06,"10,250","9,990","10,350","9,930","1,660,371"
2020.08.05,"9,960","9,810","9,970","9,780","800,302"
2020.08.04,"9,840","9,680","10,100","9,680","1,189,942"
2020.08.03,"9,670","10,050","10,100","9,630","1,709,630"
2020.07.31,"9,960","9,990","10,200","9,750","2,749,425"
2020.07.30,"10,050","9,520","10,100","9,510","2,627,301"
2020.07.29,"9,510","9,360","9,590","9,360","3,034,313"
2020.07.28,"9,500","9,420","9,590","9,360","1,384,832"
2020.07.27,"9,500","9,190","9,650","9,190","1,641,089"
2020.07.24,"9,130","9,180","9,280","9,110","711,285"
2020.07.23,"9,260","9,420","9,470","9,170","1,291,918"
2020.07.22,"9,460","9,410","9,520","9,380","806,200"
2020.07.21,"9,430","9,500","9,540","9,430","879,706"
2020.07.20,"9,500","9,740","9,820","9,450","922,313"
2020.07.17,"9,700","9,500","9,730","9,450","1,523,740"
2020.07.16,"9,420","9,500","9,590","9,380","911,667"
2020.07.15,"9,510","9,610","9,880","9,510","1,075,447"
2020.07.14,"9,540","9,620","9,620","9,450","610,004"
2020.07.13,"9,660","9,570","9,740","9,440","658,328"
2020.07.10,"9,600","10,050","10,050","9,550","1,087,812"
2020.07.09,"10,050","10,100","10,150","9,940","1,734,722"
2020.07.08,"10,050","9,830","10,150","9,670","1,417,429"
2020.07.07,"9,750","9,620","9,900","9,470","2,056,960"
2020.07.06,"9,380","9,370","9,550","9,200","675,571"
2020.07.03,"9,240","9,270","9,300","9,150","371,816"
