날짜,종가,시가,고가,저가,거래량
2020.09.11,"27,900","27,750","28,000","27,750","41,093"
2020.09.10,"27,900","27,950","28,150","27,850","141,749"
2020.09.09,"27,850","28,000","28,100","27,850","163,056"
2020.09.08,"28,250","28,500","28,500","28,200","143,248"
2020.09.07,"28,300","28,250","28,400","28,100","178,953"
2020.09.04,"28,450","27,500","29,500","27,450","432,899"
2020.09.03,"28,050","28,250","28,350","28,050","143,511"
2020.09.02,"28,200","27,900","28,200","27,750","158,462"
2020.09.01,"27,800","27,700","27,950","27,700","161,214"
2020.08.31,"27,800","28,050","28,350","27,700","235,365"
2020.08.28,"28,000","28,400","28,450","27,900","179,537"
2020.08.27,"28,000","28,500","28,600","27,900","230,370"
2020.08.26,"28,600","28,700","28,800","28,450","130,295"
2020.08.25,"28,800","28,300","28,900","28,250","156,386"
2020.08.24,"28,100","28,200","28,300","27,850","119,962"
2020.08.21,"28,150","28,100","28,450","27,700","158,701"
2020.08.20,"27,950","29,000","29,000","27,900","369,571"
2020.08.19,"28,950","29,100","29,300","28,950","263,824"
2020.08.18,"29,150","29,800","29,950","29,050","465,382"
2020.08.14,"30,300","30,800","31,000","30,000","377,211"
2020.08.13,"31,000","31,100","31,250","30,650","260,262"
2020.08.12,"31,100","31,350","31,350","30,200","303,520"
2020.08.11,"31,100","29,550","31,600","29,550","801,517"
2020.08.10,"29,550","29,350","29,600","29,250","191,929"
2020.08.07,"29,500","29,750","29,800","29,350","173,953"
2020.08.06,"29,700","29,300","29,800","29,250","193,322"
2020.08.05,"29,200","29,450","29,450","29,150","181,060"
2020.08.04,"29,450","29,350","29,700","29,250","99,303"
2020.08.03,"29,350","29,550","29,550","29,100","118,933"
2020.07.31,"29,450","29,550","29,550","29,300","155,365"
2020.07.30,"29,350","29,550","29,650","29,300","144,116"
2020.07.29,"29,550","29,550","29,750","29,450","177,023"
2020.07.28,"29,700","29,850","30,100","29,600","186,226"
2020.07.27,"29,950","29,800","30,050","29,700","189,792"
2020.07.24,"29,700","29,600","29,950","29,500","172,921"
2020.07.23,"29,400","30,000","30,000","29,350","227,908"
2020.07.22,"30,050","30,150","30,200","29,950","107,092"
2020.07.21,"30,050","29,900","30,300","29,850","139,663"
2020.07.20,"29,900","29,650","30,100","29,650","69,307"
2020.07.17,"29,700","29,950","30,100","29,600","96,577"
2020.07.16,"29,900","29,850","30,100","29,600","78,599"
2020.07.15,"29,800","30,100","30,300","29,650","107,463"
2020.07.14,"29,900","29,500","29,950","29,350","100,842"
2020.07.13,"29,500","29,400","29,750","29,100","143,406"
2020.07.10,"29,050","29,600","29,650","29,050","142,769"
2020.07.09,"29,650","29,850","30,050","29,650","71,538"
2020.07.08,"29,850","30,000","30,200","29,750","99,887"
2020.07.07,"30,300","30,500","30,500","30,050","84,486"
2020.07.06,"30,350","29,950","30,450","29,650","93,443"
2020.07.03,"29,900","29,750","29,950","29,600","40,297"
