날짜,종가,시가,고가,저가,거래량
2020.09.11,"46,600","48,050","49,100","46,150","4,097,871"
2020.09.10,"49,250","48,050","50,200","47,600","7,267,957"
2020.09.09,"48,650","48,400","51,000","46,850","14,657,670"
2020.09.08,"46,150","51,300","51,400","46,100","8,641,722"
2020.09.07,"49,050","51,100","52,300","48,700","10,031,297"
2020.09.04,"48,500","43,250","51,800","43,250","23,454,822"
2020.09.03,"45,700","40,000","49,350","39,950","22,636,230"
2020.09.02,"39,550","39,100","40,350","39,000","2,459,876"
2020.09.01,"38,900","40,250","40,400","38,700","3,666,379"
2020.08.31,"39,950","38,350","41,150","38,300","6,128,511"
2020.08.28,"37,650","36,500","38,400","36,350","5,049,845"
2020.08.27,"35,850","35,000","37,600","34,050","6,201,131"
2020.08.26,"34,800","35,400","35,400","33,500","4,845,248"
2020.08.25,"35,350","32,200","35,350","32,200","8,467,820"
2020.08.24,"31,700","30,500","32,100","29,900","2,394,232"
2020.08.21,"30,900","31,100","31,500","29,950","2,929,168"
2020.08.20,"30,400","31,700","32,950","30,050","4,915,229"
2020.08.19,"32,150","32,700","32,900","30,900","3,448,467"
2020.08.18,"31,800","31,650","33,700","30,750","6,903,570"
2020.08.14,"31,100","32,500","32,600","30,700","2,581,462"
2020.08.13,"32,300","32,400","33,400","31,750","2,490,928"
2020.08.12,"32,350","32,750","33,300","31,000","3,985,392"
2020.08.11,"32,050","31,100","33,100","30,450","4,742,875"
2020.08.10,"31,100","31,000","32,800","30,800","4,768,621"
2020.08.07,"30,050","28,800","30,200","28,550","3,522,756"
2020.08.06,"28,950","29,200","30,200","28,450","3,508,526"
2020.08.05,"28,900","27,550","29,000","26,950","4,866,007"
2020.08.04,"27,200","26,300","28,350","26,300","6,901,336"
2020.08.03,"25,850","25,500","26,000","25,000","1,667,211"
2020.07.31,"25,500","26,300","26,550","25,500","1,554,618"
2020.07.30,"26,100","25,700","26,400","25,350","1,857,994"
2020.07.29,"25,700","26,100","26,650","25,650","2,577,177"
2020.07.28,"25,550","27,000","27,000","25,300","3,184,768"
2020.07.27,"26,600","25,950","27,000","25,950","2,161,957"
2020.07.24,"25,950","25,800","26,500","25,300","2,374,689"
2020.07.23,"26,250","26,800","27,700","26,150","3,739,991"
2020.07.22,"26,400","27,300","27,950","26,200","4,975,075"
2020.07.21,"27,100","25,200","27,600","25,050","8,478,952"
2020.07.20,"25,550","23,900","25,550","23,900","5,258,251"
2020.07.17,"23,900","23,850","24,100","23,150","2,460,307"
2020.07.16,"23,700","24,250","24,400","23,350","2,626,092"
2020.07.15,"24,000","23,300","24,000","22,750","4,409,705"
2020.07.14,"22,800","24,450","25,350","22,300","7,112,510"
2020.07.13,"24,300","22,850","24,450","22,500","7,247,577"
2020.07.10,"22,600","22,650","22,850","21,850","4,959,986"
2020.07.09,"22,450","20,800","22,900","20,600","14,229,896"
2020.07.08,"20,000","19,650","20,000","19,400","1,744,894"
2020.07.07,"19,600","19,650","19,650","19,150","1,502,602"
2020.07.06,"19,450","19,000","19,500","18,850","1,333,467"
2020.07.03,"18,850","18,850","19,000","18,500","962,122"
