날짜,종가,시가,고가,저가,거래량
2020.09.11,"31,950","32,100","32,250","31,800","262,928"
2020.09.10,"32,100","32,450","32,500","32,050","602,863"
2020.09.09,"32,200","32,250","32,400","32,000","498,767"
2020.09.08,"32,650","33,350","33,350","32,550","590,475"
2020.09.07,"33,000","32,100","33,500","32,050","1,206,392"
2020.09.04,"32,000","31,500","32,000","31,400","565,062"
2020.09.03,"32,350","32,900","32,900","32,350","608,030"
2020.09.02,"32,700","32,950","33,050","32,350","474,578"
2020.09.01,"32,600","32,250","32,750","32,200","585,880"
2020.08.31,"32,250","32,850","33,150","32,250","954,449"
2020.08.28,"32,650","32,250","32,850","32,000","689,273"
2020.08.27,"31,950","32,700","32,900","31,850","930,882"
2020.08.26,"32,950","33,000","33,000","32,400","598,809"
2020.08.25,"33,000","32,650","33,200","32,600","652,921"
2020.08.24,"32,400","32,300","32,550","31,350","719,044"
2020.08.21,"32,500","32,300","33,200","32,300","757,288"
2020.08.20,"32,200","33,700","33,800","31,900","1,503,859"
2020.08.19,"33,900","33,800","34,450","33,800","764,023"
2020.08.18,"34,000","36,100","36,150","33,700","1,387,948"
2020.08.14,"36,000","36,500","36,800","35,550","1,000,610"
2020.08.13,"36,100","37,050","37,150","35,800","1,307,133"
2020.08.12,"36,550","36,450","36,800","35,350","1,568,218"
2020.08.11,"36,450","35,450","36,950","35,250","4,053,870"
2020.08.10,"34,450","34,150","34,500","33,850","749,656"
2020.08.07,"34,100","34,600","34,900","34,000","829,352"
2020.08.06,"34,550","34,350","34,900","34,150","859,335"
2020.08.05,"34,150","34,900","34,950","33,950","905,293"
2020.08.04,"34,750","33,950","35,650","33,950","2,189,050"
2020.08.03,"33,700","34,100","34,150","33,650","454,200"
2020.07.31,"34,300","33,950","34,300","33,650","625,699"
2020.07.30,"34,000","34,150","34,300","33,950","468,200"
2020.07.29,"33,900","34,350","34,400","33,850","766,813"
2020.07.28,"34,300","34,650","34,900","34,100","1,049,335"
2020.07.27,"34,550","35,600","35,800","34,500","1,001,922"
2020.07.24,"35,350","34,350","36,350","34,350","1,477,066"
2020.07.23,"34,800","35,750","35,850","34,550","768,661"
2020.07.22,"35,600","35,250","36,200","35,050","1,045,851"
2020.07.21,"35,300","35,950","36,000","35,000","789,150"
2020.07.20,"35,700","35,100","35,950","34,600","876,966"
2020.07.17,"34,950","35,400","35,900","34,850","649,058"
2020.07.16,"35,350","35,000","35,500","34,650","800,019"
2020.07.15,"34,700","34,550","35,350","34,350","1,054,420"
2020.07.14,"34,100","34,100","34,350","33,750","414,415"
2020.07.13,"34,400","33,800","34,400","33,200","694,731"
2020.07.10,"33,400","34,150","34,200","33,300","566,847"
2020.07.09,"34,150","34,600","34,650","33,800","609,351"
2020.07.08,"34,450","33,950","34,650","33,900","602,335"
2020.07.07,"33,900","34,750","34,850","33,900","590,782"
2020.07.06,"34,600","34,900","34,900","34,300","605,968"
2020.07.03,"34,500","34,400","34,550","33,800","696,058"
