날짜,종가,시가,고가,저가,거래량
2020.09.11,"222,000","221,500","224,500","221,000","126,671"
2020.09.10,"224,000","225,500","226,000","223,500","335,130"
2020.09.09,"223,500","223,000","227,500","222,000","260,718"
2020.09.08,"225,500","227,500","231,000","224,000","279,719"
2020.09.07,"225,500","228,000","228,500","224,500","272,841"
2020.09.04,"230,000","224,000","231,000","224,000","442,319"
2020.09.03,"233,500","238,000","238,000","232,000","425,972"
2020.09.02,"235,500","239,000","240,500","232,500","564,954"
2020.09.01,"238,500","225,000","241,000","225,000","915,042"
2020.08.31,"224,000","232,500","236,000","224,000","805,029"
2020.08.28,"226,000","217,500","230,000","217,500","778,178"
2020.08.27,"217,000","224,500","225,000","217,000","322,599"
2020.08.26,"223,500","220,000","224,000","216,000","345,505"
2020.08.25,"219,500","221,000","226,000","219,000","377,235"
2020.08.24,"217,000","212,500","218,000","208,500","295,989"
2020.08.21,"211,000","210,000","214,000","205,000","392,349"
2020.08.20,"204,500","213,000","215,000","203,500","519,337"
2020.08.19,"217,000","214,000","218,000","213,500","369,044"
2020.08.18,"214,500","220,000","224,500","213,000","535,693"
2020.08.14,"224,000","228,500","230,000","218,500","462,365"
2020.08.13,"228,000","231,500","240,000","225,000","983,401"
2020.08.12,"229,500","232,500","235,500","227,500","604,103"
2020.08.11,"239,000","239,000","241,000","230,000","626,321"
2020.08.10,"238,000","226,500","245,000","226,000","1,265,411"
2020.08.07,"223,500","222,500","227,500","216,000","635,205"
2020.08.06,"222,500","213,000","223,500","212,500","831,406"
2020.08.05,"212,500","207,000","213,000","206,000","435,388"
2020.08.04,"208,000","206,500","212,000","206,500","371,368"
2020.08.03,"206,000","208,000","208,500","203,000","292,704"
2020.07.31,"205,500","211,500","213,000","205,000","386,250"
2020.07.30,"213,000","212,500","217,500","212,000","399,720"
2020.07.29,"212,000","202,000","212,000","200,500","557,688"
2020.07.28,"204,000","204,500","206,000","202,500","333,839"
2020.07.27,"203,500","203,500","210,000","202,000","394,211"
2020.07.24,"203,500","207,000","214,000","203,500","566,590"
2020.07.23,"211,500","209,500","214,000","206,500","511,415"
2020.07.22,"211,000","217,000","219,500","211,000","386,754"
2020.07.21,"217,000","221,500","224,000","216,000","558,469"
2020.07.20,"224,000","222,000","227,500","219,000","434,885"
2020.07.17,"220,500","213,000","221,000","212,500","436,200"
2020.07.16,"213,000","216,500","220,000","213,000","402,205"
2020.07.15,"215,500","213,500","223,000","213,000","815,163"
2020.07.14,"210,000","203,500","211,500","200,000","549,007"
2020.07.13,"204,500","194,500","205,500","193,500","416,475"
2020.07.10,"192,500","195,500","196,500","191,000","280,706"
2020.07.09,"197,500","201,000","201,000","197,500","299,020"
2020.07.08,"199,000","200,000","203,500","199,000","271,449"
2020.07.07,"201,000","205,500","206,000","199,000","352,141"
2020.07.06,"204,500","197,000","206,000","194,500","336,074"
2020.07.03,"195,500","196,000","199,500","194,500","165,056"
