날짜,종가,시가,고가,저가,거래량
2020.09.11,"56,700","56,400","57,400","56,200","165,979"
2020.09.10,"56,400","56,500","57,200","55,900","262,036"
2020.09.09,"56,000","55,900","56,600","55,400","125,147"
2020.09.08,"56,400","56,800","57,100","56,300","152,605"
2020.09.07,"56,300","56,100","57,100","55,600","174,472"
2020.09.04,"55,800","55,300","56,200","55,100","194,702"
2020.09.03,"56,500","57,000","58,000","56,500","287,154"
2020.09.02,"56,500","56,100","57,800","55,300","370,906"
2020.09.01,"54,900","54,300","55,400","53,800","320,255"
2020.08.31,"53,700","56,000","57,200","53,700","1,731,829"
2020.08.28,"55,700","55,000","56,700","54,900","261,233"
2020.08.27,"54,600","56,300","56,300","54,400","319,492"
2020.08.26,"56,600","57,100","57,200","56,100","179,178"
2020.08.25,"57,400","56,900","58,100","56,800","170,652"
2020.08.24,"56,500","57,500","57,800","56,000","157,000"
2020.08.21,"57,700","58,300","59,200","57,400","120,640"
2020.08.20,"58,300","59,900","60,400","57,900","155,463"
2020.08.19,"60,300","60,200","60,900","59,500","90,116"
2020.08.18,"59,900","61,200","62,000","59,800","239,499"
2020.08.14,"63,400","62,600","63,800","62,000","200,118"
2020.08.13,"62,700","65,100","65,200","61,600","452,456"
2020.08.12,"64,800","63,100","65,500","63,000","246,710"
2020.08.11,"62,500","61,600","62,600","61,200","145,853"
2020.08.10,"61,600","60,200","62,100","59,500","150,710"
2020.08.07,"60,200","59,700","61,100","59,400","130,521"
2020.08.06,"59,600","59,000","59,700","58,700","81,160"
2020.08.05,"58,900","59,100","59,700","58,700","90,733"
2020.08.04,"59,400","59,000","59,800","58,500","70,565"
2020.08.03,"58,500","59,500","59,900","58,400","105,880"
2020.07.31,"59,700","60,900","61,300","59,700","88,381"
2020.07.30,"60,900","59,300","61,500","59,300","131,148"
2020.07.29,"59,300","59,500","60,000","58,800","84,862"
2020.07.28,"59,600","59,500","60,700","58,800","106,283"
2020.07.27,"59,500","59,300","60,300","59,300","77,161"
2020.07.24,"59,800","59,100","60,200","58,600","77,227"
2020.07.23,"59,700","60,700","60,700","59,300","108,846"
2020.07.22,"60,800","61,000","61,700","60,600","85,970"
2020.07.21,"60,800","60,600","61,600","60,200","98,929"
2020.07.20,"60,400","60,500","61,000","60,000","59,494"
2020.07.17,"60,500","60,900","61,900","60,000","88,456"
2020.07.16,"61,200","60,200","61,800","60,100","110,947"
2020.07.15,"59,800","60,500","61,400","59,600","98,221"
2020.07.14,"59,900","59,400","59,900","58,700","65,549"
2020.07.13,"59,500","59,200","60,300","58,700","100,511"
2020.07.10,"58,700","60,700","60,800","58,600","128,658"
2020.07.09,"60,700","61,800","62,000","60,300","104,664"
2020.07.08,"61,400","61,600","62,200","61,100","101,049"
2020.07.07,"61,800","63,200","63,900","61,600","136,243"
2020.07.06,"63,000","61,600","63,200","61,100","151,408"
2020.07.03,"61,100","59,500","61,300","59,000","140,712"
