날짜,종가,시가,고가,저가,거래량
2020.09.11,"24,600","24,700","24,900","24,550","232,756"
2020.09.10,"25,000","24,900","25,100","24,700","731,009"
2020.09.09,"24,700","24,800","25,000","24,650","643,609"
2020.09.08,"25,200","25,850","26,100","25,100","715,339"
2020.09.07,"25,500","25,100","25,800","24,600","752,319"
2020.09.04,"25,050","24,550","25,100","24,500","775,970"
2020.09.03,"25,450","26,000","26,050","25,300","681,893"
2020.09.02,"25,800","25,500","25,900","25,300","535,081"
2020.09.01,"25,500","25,100","25,550","25,000","486,883"
2020.08.31,"25,100","26,000","26,250","25,100","934,169"
2020.08.28,"25,600","25,400","26,150","25,400","671,192"
2020.08.27,"25,300","26,100","26,150","25,200","880,525"
2020.08.26,"26,350","26,850","26,850","25,850","863,354"
2020.08.25,"27,000","26,850","27,600","26,650","960,072"
2020.08.24,"26,650","25,300","26,750","24,700","1,126,401"
2020.08.21,"25,400","25,300","25,850","24,750","775,109"
2020.08.20,"25,200","26,950","26,950","25,050","1,566,337"
2020.08.19,"27,050","26,850","27,300","26,550","694,420"
2020.08.18,"26,550","28,600","28,900","26,250","1,767,042"
2020.08.14,"28,600","28,150","28,900","27,350","1,384,764"
2020.08.13,"28,150","28,800","29,250","27,550","1,827,188"
2020.08.12,"28,500","27,700","28,500","27,150","2,352,476"
2020.08.11,"27,550","27,350","28,350","27,200","2,421,392"
2020.08.10,"26,600","25,700","26,800","25,600","1,590,433"
2020.08.07,"25,900","26,500","26,700","25,500","1,143,858"
2020.08.06,"26,300","24,900","26,300","24,850","1,898,879"
2020.08.05,"24,700","25,150","25,450","24,500","967,722"
2020.08.04,"25,150","24,150","25,750","24,150","1,200,080"
2020.08.03,"24,150","24,750","24,750","24,000","979,714"
2020.07.31,"24,800","25,200","25,600","24,800","876,919"
2020.07.30,"25,400","25,700","25,950","25,150","1,089,535"
2020.07.29,"25,650","25,700","26,000","25,250","860,766"
2020.07.28,"25,700","26,300","26,350","25,100","1,469,626"
2020.07.27,"25,950","25,150","26,150","25,150","942,514"
2020.07.24,"25,450","25,100","26,500","24,850","1,463,036"
2020.07.23,"25,750","27,050","27,100","25,300","2,404,899"
2020.07.22,"27,150","26,200","28,500","25,850","3,522,504"
2020.07.21,"26,700","26,650","26,950","25,150","3,157,445"
2020.07.20,"26,300","24,100","26,450","24,000","4,640,073"
2020.07.17,"23,900","23,950","24,500","23,400","1,615,125"
2020.07.16,"23,600","22,900","24,000","22,650","2,602,241"
2020.07.15,"22,400","21,400","24,000","21,350","3,484,654"
2020.07.14,"20,750","21,050","21,100","20,550","409,311"
2020.07.13,"21,050","20,600","21,150","20,350","529,934"
2020.07.10,"20,450","21,050","21,200","20,350","750,771"
2020.07.09,"21,250","21,800","21,800","21,150","532,952"
2020.07.08,"21,400","21,350","21,900","21,100","539,627"
2020.07.07,"21,200","21,600","22,050","21,150","578,549"
2020.07.06,"21,450","21,100","21,750","20,750","453,822"
2020.07.03,"21,050","20,900","21,150","20,700","396,561"
