날짜,종가,시가,고가,저가,거래량
2020.09.11,"169,000","167,500","171,500","167,500","964,416"
2020.09.10,"169,000","170,500","171,500","168,000","1,326,177"
2020.09.09,"167,500","166,500","172,000","165,500","1,685,225"
2020.09.08,"168,000","171,000","172,500","168,000","1,933,504"
2020.09.07,"170,000","172,500","173,000","169,000","1,516,649"
2020.09.04,"172,500","167,500","174,000","167,500","2,886,867"
2020.09.03,"176,500","177,500","177,500","174,000","1,841,550"
2020.09.02,"176,000","178,000","178,500","173,500","2,825,239"
2020.09.01,"180,000","178,500","181,000","175,500","2,704,194"
2020.08.31,"176,500","177,500","182,000","174,500","5,275,614"
2020.08.28,"172,000","165,500","176,500","164,500","5,571,784"
2020.08.27,"163,500","169,000","169,500","163,500","2,427,108"
2020.08.26,"167,500","166,500","170,000","163,000","2,638,394"
2020.08.25,"166,000","167,500","171,000","165,000","3,304,089"
2020.08.24,"161,500","157,500","163,000","152,500","2,904,566"
2020.08.21,"156,000","158,000","161,500","154,000","3,348,383"
2020.08.20,"155,000","163,000","165,500","154,000","3,630,223"
2020.08.19,"164,500","158,000","165,500","158,000","3,298,626"
2020.08.18,"158,000","163,500","168,000","155,500","4,328,953"
2020.08.14,"167,000","171,000","172,000","161,000","4,469,158"
2020.08.13,"170,000","175,000","177,500","167,000","3,997,431"
2020.08.12,"172,000","174,000","178,500","170,500","4,877,139"
2020.08.11,"179,000","171,500","180,500","164,500","6,776,406"
2020.08.10,"170,000","151,500","172,500","151,000","8,460,795"
2020.08.07,"147,000","145,500","149,500","144,500","3,208,082"
2020.08.06,"144,500","136,500","146,000","136,000","4,040,334"
2020.08.05,"134,000","133,000","135,500","132,000","1,859,551"
2020.08.04,"132,500","129,500","134,000","129,000","2,492,506"
2020.08.03,"127,000","126,500","128,500","123,500","1,868,315"
2020.07.31,"126,500","128,000","129,500","125,000","1,712,713"
2020.07.30,"127,500","127,000","130,500","126,000","2,728,427"
2020.07.29,"125,000","122,500","125,500","120,000","1,897,616"
2020.07.28,"123,000","124,500","126,000","122,000","1,765,179"
2020.07.27,"123,500","122,500","126,500","122,000","2,046,059"
2020.07.24,"122,500","123,500","129,000","121,500","3,908,721"
2020.07.23,"124,500","118,500","125,500","116,000","4,505,464"
2020.07.22,"118,500","122,000","124,000","118,500","2,395,083"
2020.07.21,"121,500","122,000","124,500","118,000","3,138,553"
2020.07.20,"121,500","119,500","125,000","118,000","4,461,527"
2020.07.17,"117,500","109,500","119,000","109,500","4,265,529"
2020.07.16,"110,000","110,500","113,000","109,000","3,254,530"
2020.07.15,"109,000","104,500","110,000","104,000","4,494,730"
2020.07.14,"101,500","101,500","102,000","99,900","1,050,563"
2020.07.13,"101,500","99,200","101,500","98,500","1,376,002"
2020.07.10,"98,300","99,400","99,500","98,000","1,099,298"
2020.07.09,"99,600","100,000","101,000","99,600","922,604"
2020.07.08,"99,600","99,200","101,000","99,100","859,735"
2020.07.07,"99,200","103,000","103,500","99,200","1,379,122"
2020.07.06,"101,500","99,700","102,500","98,800","1,189,877"
2020.07.03,"99,200","99,900","100,500","98,600","569,575"
