날짜,종가,시가,고가,저가,거래량
2020.09.11,"22,250","22,000","22,350","22,000","103,680"
2020.09.10,"22,150","22,500","22,600","22,150","328,089"
2020.09.09,"22,400","22,000","22,450","21,900","212,632"
2020.09.08,"22,200","22,150","22,350","22,000","195,937"
2020.09.07,"22,000","22,000","22,300","21,750","281,797"
2020.09.04,"21,950","22,150","22,400","21,850","391,277"
2020.09.03,"22,500","22,800","22,850","22,300","181,389"
2020.09.02,"22,800","22,900","22,900","22,300","181,105"
2020.09.01,"22,600","22,100","22,800","22,050","307,638"
2020.08.31,"22,100","22,500","22,800","22,050","375,615"
2020.08.28,"22,400","22,650","22,700","22,200","202,632"
2020.08.27,"22,500","22,450","22,500","22,200","204,834"
2020.08.26,"22,500","22,750","22,800","22,250","243,423"
2020.08.25,"22,900","22,700","23,150","22,500","224,822"
2020.08.24,"22,650","22,700","22,700","22,100","194,058"
2020.08.21,"22,550","22,600","23,250","22,550","295,936"
2020.08.20,"22,600","23,500","23,750","22,600","359,573"
2020.08.19,"23,900","23,100","24,300","23,100","320,195"
2020.08.18,"23,200","24,150","24,550","23,150","485,937"
2020.08.14,"24,050","24,750","24,750","23,650","265,319"
2020.08.13,"24,500","24,700","25,200","24,250","463,583"
2020.08.12,"24,450","23,350","24,700","23,200","525,863"
2020.08.11,"23,500","22,150","23,700","22,100","500,378"
2020.08.10,"22,100","22,350","22,650","22,000","548,692"
2020.08.07,"22,650","22,700","23,000","22,550","205,360"
2020.08.06,"22,850","22,550","23,000","22,450","199,847"
2020.08.05,"22,550","22,450","22,850","22,400","178,689"
2020.08.04,"22,550","22,400","22,900","22,350","193,161"
2020.08.03,"22,550","23,350","23,400","22,350","284,844"
2020.07.31,"23,300","23,650","23,900","23,100","237,505"
2020.07.30,"23,800","23,500","24,200","23,500","226,875"
2020.07.29,"23,650","23,150","23,800","22,900","168,174"
2020.07.28,"23,450","23,350","23,650","23,150","197,097"
2020.07.27,"23,300","23,150","23,850","23,150","163,577"
2020.07.24,"23,150","22,900","23,300","22,800","157,761"
2020.07.23,"23,150","23,600","23,800","23,050","193,287"
2020.07.22,"23,600","23,400","24,200","23,350","323,375"
2020.07.21,"23,400","23,700","23,800","23,400","263,608"
2020.07.20,"23,850","24,050","24,050","23,450","241,349"
2020.07.17,"23,850","23,900","24,400","23,750","290,467"
2020.07.16,"23,600","22,700","23,850","22,700","452,354"
2020.07.15,"22,700","22,600","23,350","22,600","437,893"
2020.07.14,"22,450","22,100","22,750","22,100","403,821"
2020.07.13,"22,250","22,100","22,400","22,000","480,662"
2020.07.10,"22,050","23,250","23,250","22,050","414,641"
2020.07.09,"23,050","23,000","23,450","22,850","342,350"
2020.07.08,"23,000","22,850","23,100","22,750","296,201"
2020.07.07,"22,800","23,800","24,000","22,800","568,269"
2020.07.06,"23,700","23,850","24,000","23,250","112,515"
2020.07.03,"23,600","23,300","23,700","23,250","123,535"
