날짜,종가,시가,고가,저가,거래량
2020.09.11,"78,100","78,800","80,200","77,800","76,064"
2020.09.10,"79,500","79,500","82,700","78,200","284,475"
2020.09.09,"79,000","76,800","80,600","76,500","275,332"
2020.09.08,"77,300","85,000","86,000","76,600","428,875"
2020.09.07,"82,500","83,300","85,300","79,500","712,410"
2020.09.04,"81,100","66,600","83,100","66,600","1,349,850"
2020.09.03,"68,000","67,700","68,200","67,400","85,524"
2020.09.02,"67,700","67,300","68,000","67,000","50,025"
2020.09.01,"67,400","66,900","67,500","66,500","54,971"
2020.08.31,"67,000","67,500","68,200","66,500","69,982"
2020.08.28,"67,200","67,400","67,600","66,600","40,732"
2020.08.27,"66,600","66,900","67,900","66,500","52,524"
2020.08.26,"67,100","67,500","67,500","66,300","48,073"
2020.08.25,"67,700","66,200","68,000","66,000","64,955"
2020.08.24,"65,700","66,000","66,100","64,500","49,643"
2020.08.21,"65,600","65,600","66,100","64,700","60,275"
2020.08.20,"64,900","67,600","67,900","64,900","133,446"
2020.08.19,"67,800","68,100","68,600","67,100","85,103"
2020.08.18,"68,000","71,200","71,200","67,700","115,736"
2020.08.14,"71,600","72,200","72,400","70,500","77,502"
2020.08.13,"72,500","72,500","73,200","71,700","104,243"
2020.08.12,"72,300","72,300","72,600","70,600","111,993"
2020.08.11,"72,500","71,500","73,300","71,000","213,934"
2020.08.10,"69,900","68,600","70,300","68,500","138,239"
2020.08.07,"68,600","68,100","68,600","67,600","94,056"
2020.08.06,"67,700","67,100","68,300","66,800","105,830"
2020.08.05,"67,100","67,300","67,500","66,700","63,779"
2020.08.04,"67,300","66,900","67,500","66,300","122,834"
2020.08.03,"66,300","67,900","69,000","66,000","146,845"
2020.07.31,"68,300","69,500","69,900","68,200","53,457"
2020.07.30,"69,400","69,000","70,300","68,800","55,013"
2020.07.29,"69,200","72,000","72,000","68,300","162,712"
2020.07.28,"71,700","73,400","73,400","70,700","108,056"
2020.07.27,"72,700","68,900","72,700","68,800","258,125"
2020.07.24,"68,700","65,500","68,900","65,000","129,237"
2020.07.23,"66,000","66,500","67,000","65,400","68,413"
2020.07.22,"67,100","66,400","68,300","66,400","86,109"
2020.07.21,"66,100","65,700","68,000","65,700","130,860"
2020.07.20,"65,600","66,200","66,300","65,400","39,455"
2020.07.17,"66,100","66,100","66,800","65,500","70,326"
2020.07.16,"66,000","65,400","66,900","65,100","76,114"
2020.07.15,"65,300","62,800","66,000","62,700","161,777"
2020.07.14,"62,100","62,600","62,600","61,900","31,385"
2020.07.13,"62,500","62,000","62,700","61,500","51,660"
2020.07.10,"61,500","63,100","63,100","61,500","88,877"
2020.07.09,"63,100","63,500","63,500","63,000","38,999"
2020.07.08,"63,300","62,900","63,500","62,700","58,055"
2020.07.07,"62,900","63,400","64,100","62,900","49,504"
2020.07.06,"63,400","63,600","63,600","63,100","36,304"
2020.07.03,"63,300","63,300","63,900","63,000","47,980"
