날짜,종가,시가,고가,저가,거래량
2020.09.11,"36,700","37,500","37,850","36,500","218,467"
2020.09.10,"38,000","39,050","39,300","37,450","316,522"
2020.09.09,"38,500","38,050","38,700","37,150","327,008"
2020.09.08,"38,650","39,650","39,750","38,500","337,775"
2020.09.07,"39,650","39,000","40,200","38,600","655,344"
2020.09.04,"38,850","38,300","39,500","38,300","571,870"
2020.09.03,"39,500","37,550","39,950","37,250","1,230,204"
2020.09.02,"37,250","37,000","37,350","36,050","367,689"
2020.09.01,"37,000","35,000","37,400","34,500","486,193"
2020.08.31,"34,700","37,350","37,400","34,700","607,832"
2020.08.28,"37,050","36,500","37,600","36,150","625,060"
2020.08.27,"35,750","36,500","37,150","35,450","389,281"
2020.08.26,"36,300","35,700","36,400","34,300","506,371"
2020.08.25,"36,200","35,000","36,350","34,750","699,266"
2020.08.24,"35,050","32,550","35,200","32,300","824,134"
2020.08.21,"33,250","30,400","33,750","30,400","916,405"
2020.08.20,"30,300","31,250","31,500","30,150","595,396"
2020.08.19,"31,550","32,100","32,450","31,300","493,484"
2020.08.18,"32,150","33,650","34,350","31,800","584,434"
2020.08.14,"34,100","34,000","34,650","33,450","367,471"
2020.08.13,"33,700","33,950","34,400","33,200","377,863"
2020.08.12,"33,700","33,950","34,050","33,150","379,910"
2020.08.11,"34,050","32,550","34,250","32,550","627,559"
2020.08.10,"32,450","32,000","32,850","31,300","404,085"
2020.08.07,"32,350","32,650","33,100","32,150","279,616"
2020.08.06,"33,000","33,500","33,500","32,750","260,869"
2020.08.05,"33,550","32,350","33,650","32,050","314,633"
2020.08.04,"32,300","31,950","32,350","31,750","268,341"
2020.08.03,"31,950","33,400","33,450","31,850","453,075"
2020.07.31,"33,400","34,050","34,150","33,300","402,001"
2020.07.30,"34,050","34,400","34,700","33,950","238,942"
2020.07.29,"34,350","33,500","34,400","33,450","282,882"
2020.07.28,"33,900","34,000","34,700","33,400","305,060"
2020.07.27,"33,800","33,800","34,200","33,700","164,666"
2020.07.24,"33,800","33,550","34,300","33,500","197,300"
2020.07.23,"33,900","35,100","35,150","33,850","523,514"
2020.07.22,"35,100","35,600","36,250","35,050","395,293"
2020.07.21,"35,500","35,750","35,900","35,300","311,568"
2020.07.20,"35,800","36,100","36,350","35,500","233,739"
2020.07.17,"36,250","36,450","36,700","35,750","191,628"
2020.07.16,"36,450","36,450","36,950","35,750","407,486"
2020.07.15,"36,550","35,600","37,050","35,600","483,324"
2020.07.14,"35,450","35,100","35,600","35,100","278,273"
2020.07.13,"35,600","36,350","36,350","35,050","397,257"
2020.07.10,"36,400","37,800","38,400","36,300","1,038,624"
2020.07.09,"38,350","38,300","39,150","38,150","338,063"
2020.07.08,"38,300","37,550","38,850","37,450","658,927"
2020.07.07,"37,350","35,550","37,350","35,350","810,162"
2020.07.06,"35,200","35,400","35,450","34,700","274,604"
2020.07.03,"35,400","35,300","35,600","35,050","157,295"
