"Company","Headline","Text","URL","NewsInfo","Time"
"-","'뉴딜 훈풍'에 게임·친환경에너지株 올랐다","[머니투데이 구유나 기자] 4일 하락장 속 뉴딜 관련주는 웃었다. 한국판 뉴딜, 뉴딜펀드 등의 기대감 덕에 게임주와 태양광·수소 …","https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=258&oid=008&aid=0004466502","머니투데이 1분전","2020_09_04_17시44분"
"-","""조정은 비중확대 기회""…美 부양책 합의 '주시'","[한국경제TV 정경준 기자] <앵커> 미국 기술주 급락 여파와 맞물려 국내 증시를 둘러싼 고평가 부담이 재차 확산되고 있습니다. …","https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=258&oid=215&aid=0000898901","한국경제TV 4분전","2020_09_04_17시44분"
"카카오","""카카오게임즈 환불금 재투자""…삼성證, 청약고객 상품권 행사","삼성증권이 카카오게임즈 청약 이후 투자할 곳을 찾는 고객을 위한 이벤트를 진행한다고 4일 밝혔다. 삼성증권은 이달 29일까지 진 …","https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=258&oid=009&aid=0004649504","매일경제 신문A14면 4분전","2020_09_04_17시44분"
"-","""코스피 4000 가도 이상하지 않다""","시작은 지난 3월 16일이었다. 한국은행이 기준금리를 0.5%포인트 낮추는 ‘빅컷’(1.25%→0.75%)을 단행했다. 코로나1 …","https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=258&oid=015&aid=0004410717","한국경제 신문A22면 9분전","2020_09_04_17시44분"
"참엔지니어링","[유가증권시장 공시] 대우건설 / 코오롱글로벌 / 참엔지니어링","◇대우건설=3057억원 규모 파주 공동주택 신축공사 수주. ◇코오롱글로벌=471억원 규모 풍력발전단지 공사 계약. ◇참엔지니어링 …","https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=258&oid=009&aid=0004649509","매일경제 신문A14면 1분전","2020_09_04_17시44분"
"디와이피엔에프","[코스닥 공시] 디와이피엔에프 / 아이엘사이언스","◇디와이피엔에프=이집트 국영기업과 119억원 규모 공급 계약. ◇아이엘사이언스=25억원 규모 LED 조명 모듈·부품 공급 계약. …","https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=258&oid=009&aid=0004649508","매일경제 신문A14면 1분전","2020_09_04_17시44분"
"-","[표] 주간 수익률 베스트&워스트","▶ 팬데믹위기 해법 찾는다! - 제21회 세계지식포럼 ▶ 궁금한 제조과정 영상으로 보세요. '이렇게 만들죠' ▶ 데일리 뉴스 …","https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=258&oid=009&aid=0004649499","매일경제 신문A14면 6분전","2020_09_04_17시44분"
"-","[표]유형별 펀드 자금 동향(9월 4일)","[서울경제] [서울경제 바로가기] ▶ 산업이슈 알기쉽게 [양철민의 인더스트리] ▶ 네이버 채널에서 '서울경제' 구독해주세요! 저 …","https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=258&oid=011&aid=0003793322","서울경제 16분전","2020_09_04_17시44분"
"-","3030영어, “거리두기 2.5단계 1주 연장 발표에 따른 지원정책 발표”","[서울경제] 영어프랜차이즈 3030영어(삼공삼공영어)는 오늘 오후 정부에서 발표한 수도권 사회적 거리 두기 2.5단계 1주 연장 …","https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=258&oid=011&aid=0003793324","서울경제 15분전","2020_09_04_17시44분"
"-","IBK투자증권, 디스커버리펀드 원금 40% 선지급 결정","[아이뉴스24 한수연 기자] IBK투자증권이 디스커버리펀드 투자자들에게 원금의 40%를 선지급하기로 했다. 앞서 이 증권사는 디 …","https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=258&oid=031&aid=0000556063","아이뉴스24 7분전","2020_09_04_17시44분"
"동성화인텍","LNG선 수주잔고 `최대`…동성화인텍 주가도 방긋","선박 LNG보관용 보랭재 공급 상반기에만 5327억 사상 최대 올해만 1년6개월치 매출 확보 동성화인텍이 국내 조선사에서 수주한 …","https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=258&oid=009&aid=0004649498","매일경제 신문A14면 6분전","2020_09_04_17시44분"
"유니슨","거래소 “'투자경고' 유니슨, 2일간 40%↑ 급등…7일 거래정지”","[이데일리 김윤지 기자] 한국거래소 시장감시위원회는 유니슨(018000) 보통주의 매매거래를 7일 하루 정지한다고 4일 공시했다 …","https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=258&oid=018&aid=0004730343","이데일리 16분전","2020_09_04_17시44분"
