headline,label
'미국발 훈풍·공매도 연기' 코스피 UP...개인 매수세 활발,0
"[특징주] 신테카바이오, 아크토리스와 코로나19 치료제 발굴 소식에 '강세'",1
"[특징주] 제노포커스, 코로나 진단키트 효소 국산화 성공 소식에 상한가",1
"넥스틴, 증권신고서 제출...""10월 코스닥 상장 예정""",0
"코스피, 개미 매수세에 2350선…상승폭은 제한적",-1
'미국발 훈풍·공매도 연기' 코스피 UP...개인 순매수 강화,0
"[특장주]바이오리더스, 대규모 유상증자 결정에 '급락'",-1
"[특징주] 바이오리더스, 대규모 유상증자 소식에 급락",-1
코로나19 확산세 주시…원/달러 환율 강보합 출발,0
"[특징주]두산중공업, 장중 52주 신고가 경신",1
"[특징주]이수앱지스, ESMO 임상 결과 발표 기대감에 급등세",1
"[특징주]한화솔루션, 52주 신고가…포르투갈 태양광 발전 사업 수주",1
"코스피, 개장 초반 강세…2,350대 유지(종합)",1
"[특징주] 파트론, 증권가 호평에 '강세'",1
"세종시, 행복도시 4-2생활권 M2블록, 청약 9월 7일부터 시작",0
"[특징주] 바이오리더스, 유상증자 소식에 15% 급락",-1
[특징주] 코로나19 방역조치 추가 시사…물류株 급등,1
"[특징주] 코오롱글로벌, 코로나 재확산 속 '음압병동 설립' 소식에 강세",1
"[특징주] 부광약품, 코로나19 재확산 우려 속 치료제 특허 기대감에 '강세'",0
"[특징주]RFHIC, 연말부터 美·인도향 매출 성장 기대에 ‘강세’",1
"제넨바이오, 세계 최초 WHO 기준 이종장기 이식 임상 추진",1
"[특징주] 시스웍, 6거래일 연속 상한가 후 급락 전환",-1
"KSD나눔재단, ‘꿈이룸 장학사업’ 신규 장학생 25명 선발",0
"[특징주] SK이노베이션, '배터리 특허 패소' 소식에 약세",-1
"[특징주] 삼성중공업, '전날 하락세' 끊고 다시 반등",-1
"[특징주] 이스트아시아홀딩스, 상폐 위기 몰렸다가 두번째 상한가",0
[특징주] 코로나19에 물류·제지주 강세,1
코로나19 속 대마초 시장 급성장?…다시 관심받는 마리화나ETF,1
"신한BNP파리바자산운용, 신한BNPP시니어론 4호 펀드 6,900억원 약정",0
"[특징주] 제노포커스, 코로나19 진단키트 필수 효소 개발에 3연상",0
"SK하이닉스, 반도체 가격 인하에도 반등 기대 '매수'- KB증권",1
코로나19 속 대마초 시장 급성장...? 다시 관심받는 마리화나ETF,1
"[TF시황] '상승곡선' 국내증시···코스피, 2357선 '순항'",1
"[특징주]SKT 5,000억 자사주 취득 밝혔지만...주가는 ‘미지근’",0
"수지 출연작 '배가본드', 셀트리온 작품인 것 아셨나요?",0
"코스피, 개인 매수세에 상승…2362.22 출발",0
"""동학개미 사흘째 사자""…코스피, 공매도 금지 연장에 '상승'",0
"[특징주]파트론, 강세…스마트폰 부품 수요 급반등",1
"사회적 거리두기 2단계 연장…코스피, 상승 출발 `2350선`",0
"코퍼스코리아, 코스닥 상장예비심사 승인…연내 상장",1
"[특징주] 바이오리더스, 대규모 유증 발표에 약세",-1
[특징주] 이스트아시아홀딩스 또 상한가,0
"1년 4개월만에 재개된 이스트아시아홀딩스, 이틀 연속 상한가",0
"코스닥, 개인 '사자'에 상승 출발…'840선'서 등락",0
"미스터블루, 해외발 게임부문 성장 기대-한화",1
"한투증권 ""이천슬라→사백슬라, 수급 측면 모멘텀 지속""",0
"코스피, 미 연준 평균물가안정 목표제 도입에 상승 출발",0
[이슈타임]코로나 장세 속 '언택트' 강세…외국인도 담는다?,1
"SK텔레콤, 5천억원 자사주 취득 결정…""주주가치 제고""",0
"코스피, 코로나19 재확산 우려 속 강세 출발",-1
"SKT 5천억원 규모 자사주 취득…""주주가치 제고·주가 안정화""",0
"""연준 저금리 기조, 韓증시 외국인 수급 부정적"" -키움증권",-1
"[개장시황] 코스피 개인 순매수...2,350선 상승 출발",0
"[특징주] SK텔레콤, 5000억 자사주 취득… 아직 시장 반영 안됐나? ‘주춤’",0
"[itM-개장시황] 코스피, 전일 대비 17.77p(0.76%) 오른 2362.22로 개장",0
"RFHIC, 연말부터 미국·인도향 매출 증가 전망…목표가↑-하나",1
달러-엔 106.750엔(09시10분 현재),0
"코스피, 상승 출발…2,350대",0
코스피 0.7% 상승 2360선 출발…코스닥 0.6%↑(2보),1
"[업종공략] 해상풍력발전, 정유, 코오롱글로벌",0
"유진투자證 ""영풍정밀, 안정적인 본업과 풍부한 현금 보유""",1
"[시황]코스피 2362.22(▲0.76%), 코스닥 841.76(▲0.64%), 원·달러 환율 1186.3원(▲1.3원) 개장",0
"IBK證 ""공매도 금지 연장, 개인 수급에 긍정적·외인 수급엔 부정적""",0
"네오위즈, 웹보드 규제완화 효과로 성장-신한금투",1
"코스피, 17.77p 오른 2362.22 출발(0.76%↑)",1
[달러/원] 환율 1.3원 오른 1186.3원 출발,0
[코스닥] 5.36p(0.64%) 오른 841.76 출발,0
"[스팟]코스닥, 5.36p(0.64%) 오른 841.76 출발",0
[코스닥(개장)] 5.36포인트(0.64%) 오른 841.76 출발,0
"[코스피(개장)] 17.77포인트(0.76%) 오른 2,362.22 출발",0
[코스피] 17.77p(0.76%) 오른 2362.22 출발,0
카카오게임즈 공모주 청약 '눈길'… 기관 수요예측서 대흥행,1
"코스닥, 5.36포인트 오른 842.18 개장",0
디램 현물 가격 하락 멈췄다..반도체 업황 바닥 찍나,-1
"코스닥, 5.36p 오른 841.76 출발(0.64%↑)",1
"코스피, 17.77p(0.76%) 오른 2362.22 출발, 원/달러 환율 1.3원 오른 1186.3원 출발",0
